City,Population
Total,81867223
Adana,2229410
Adıyaman,621171
Afyonkarahisar,719081
Ağrı,534092
"Amasya,"" 29770"""
Ankara,5546531
Antalya,2415462
Artvin,165342
Aydın,1095470
Balıkesir,1213811
Bilecik,224182
Bingöl,276394
Bitlis,343717
Bolu,308310
Burdur,263682
Bursa,2988233
Çanakkale,535284
Çankırı,184279
Çorum,528245
Denizli,1031528
Diyarbakır,1726464
Edirne,407517
Elazığ,588419
Erzincan,232401
Erzurum,759897
Eskişehir,877767
Gaziantep,2047275
Giresun,440123
Gümüşhane,172567
Hakkari,277179
Hatay,1594832
Isparta,432342
Mersin,1815801
İstanbul,15254231
İzmir,4330317
Kars,284855
Kastamonu,375689
Kayseri,1396387
Kırklareli,358275
Kırşehir,238105
Kocaeli,1937526
Konya,2205717
Kütahya,574423
Malatya,792803
Manisa,1424518
Kahramanmaraş,1141969
Mardin,819422
Muğla,955080
Muş,405047
Nevşehir,294228
Niğde,355350
Ordu,745458
Rize,331479
Sakarya,1010819
Samsun,1325637
Siirt,328683
Sinop,208065
Sivas,619294
Tekirdağ,1039088
Tokat,602228
Trabzon,793899
Tunceli,81709
Şanlıurfa,2036837
Uşak,370188
Van,1117484
Yozgat,413411
Zonguldak,595637
Aksaray,408536
Bayburt,81429
Karaman,248757
Kırıkkale,279940
Batman,595890
Şırnak,510066
Bartın,194504
Ardahan,95726
Iğdır,195791
Yalova,259871
Karabük,249179
Kilis,137612
Osmaniye,535126
Düzce,384358
